,Actual,Predicted
269,531900.0,746930.0
270,3763900.0,2781070.0
271,1461100.0,1831620.0
272,3041400.0,2363750.0
273,7278400.0,6436790.0
274,82500.0,156880.0
275,1106100.0,1289240.0
276,428400.0,100540.0
277,122400.0,151160.0
278,9315400.0,8346700.0
279,1194300.0,2260300.0
280,2993500.0,4546180.0
281,1161500.0,897120.0
282,2500.0,1060.0
283,6228700.0,6852010.0
284,5000.0,7600.0
285,214300.0,178740.0
286,1981100.0,1829410.0
287,426900.0,500170.0
288,240500.0,651910.0
289,1739400.0,2562380.0
290,500.0,5910.0
291,346600.0,811840.0
292,2237700.0,2031160.0
293,400.0,210.0
294,4646400.0,6397430.0
295,212300.0,207320.0
296,1333000.0,1469670.0
297,4024700.0,2379370.0
298,17145400.0,10252830.0
299,3380200.0,6186920.0
300,1641000.0,682480.0
301,673100.0,170790.0
302,3706000.0,6509570.0
303,134400.0,133270.0
304,836900.0,1001050.0
305,4007000.0,3040190.0
306,848100.0,1078250.0
307,465400.0,847790.0
308,1924700.0,2075370.0
309,707700.0,849800.0
310,2865600.0,2337250.0
311,770100.0,558440.0
312,4538700.0,5678940.0
313,711300.0,344340.0
314,14773300.0,7824030.0
315,101800.0,56140.0
316,111100.0,110320.0
317,1202400.0,620440.0
318,1600.0,5190.0
319,6200.0,620.0
320,911900.0,1216200.0
321,0.0,450.0
322,7702400.0,8335830.0
323,526900.0,669440.0
324,2172300.0,2732800.0
325,9465500.0,4218830.0
326,4473700.0,6509570.0
327,122400.0,54530.0
328,2452600.0,3415670.0
329,460400.0,1074590.0
330,106400.0,240610.0
331,5548300.0,4894370.0
332,335300.0,511550.0
333,804900.0,1175880.0
334,6827100.0,5801590.0
335,1895600.0,3627710.0
336,894800.0,1142070.0
337,1838100.0,1855500.0
338,1500.0,18480.0
339,205700.0,190950.0
340,9175100.0,9054420.0
341,3800.0,5440.0
342,2892100.0,3783810.0
343,888700.0,903940.0
344,4653600.0,4144860.0
345,2817800.0,2232170.0
346,22296900.0,10894430.0
347,3260400.0,3114970.0
348,44500.0,58180.0
349,1722300.0,2840210.0
350,6249800.0,5266890.0
351,2703800.0,1931120.0
352,10400.0,2870.0
353,6932500.0,5310340.0
354,340800.0,285240.0
355,80500.0,55240.0
356,1549800.0,1336400.0
357,7489500.0,3743970.0
358,800.0,2090.0
359,1921300.0,1781160.0
360,3900.0,4760.0
361,7204300.0,5673870.0
362,7388800.0,6659060.0
363,665700.0,685120.0
364,3094400.0,4243850.0
365,3293400.0,4447790.0
366,101400.0,11290.0
367,1965000.0,1907700.0
368,269500.0,675980.0
369,3266700.0,4363940.0
370,75900.0,14160.0
371,2221200.0,2829240.0
372,726000.0,609090.0
373,1218400.0,2280650.0
374,1302800.0,1449120.0
375,1106100.0,1303310.0
376,2902200.0,4836300.0
377,1852400.0,2045760.0
378,298800.0,789630.0
379,39900.0,42500.0
380,2796700.0,3046910.0
381,34500.0,29770.0
382,18100.0,6190.0
383,15272500.0,13669380.0
384,535300.0,427200.0
385,228300.0,111410.0
386,6998100.0,6779740.0
387,2831600.0,2883540.0
388,928400.0,868410.0
389,2500.0,1010.0
390,11926300.0,18134090.0
391,121000.0,400280.0
392,2157500.0,2224310.0
393,12759000.0,7890210.0
394,777000.0,974600.0
395,1170700.0,600410.0
396,3291700.0,3750950.0
397,3019900.0,2868890.0
398,3404100.0,3223160.0
399,3183000.0,2767700.0
400,294900.0,491610.0
401,3034600.0,5412950.0
402,3118600.0,7060770.0
403,72500.0,66540.0
404,799600.0,723450.0
405,0.0,900.0
406,100.0,3720.0
407,7400.0,10650.0
408,1404400.0,1786340.0
409,269600.0,296190.0
410,27700.0,20800.0
411,579900.0,243280.0
412,897600.0,760350.0
413,91800.0,113530.0
414,154000.0,536090.0
415,51900.0,74140.0
416,52500.0,51960.0
417,97800.0,243960.0
418,8106800.0,10196180.0
419,3349300.0,4266950.0
420,41300.0,15020.0
421,2686800.0,4836530.0
422,742600.0,915180.0
423,1634800.0,3067770.0
424,1197500.0,633530.0
425,5975600.0,20215620.0
426,463400.0,379070.0
427,4566500.0,5707620.0
428,47900.0,60350.0
429,1009800.0,1066690.0
430,802200.0,498810.0
431,4277300.0,6401740.0
432,28744100.0,16944430.0
433,838200.0,763100.0
434,167700.0,569600.0
435,229300.0,334150.0
436,1969700.0,1210980.0
437,1440000.0,1700820.0
438,17211400.0,8438170.0
439,11800.0,31610.0
440,206400.0,104320.0
441,0.0,250.0
442,3616400.0,3743130.0
443,1855400.0,1437800.0
444,308600.0,575880.0
445,6300.0,6350.0
446,14639300.0,16788900.0
447,6150300.0,7643460.0
448,111800.0,70540.0
449,3972800.0,2155030.0
450,1543200.0,1171560.0
451,1352000.0,1445760.0
452,2057700.0,1369420.0
453,523300.0,1844370.0
454,5488400.0,3841630.0
455,4200.0,9350.0
456,2471500.0,1994630.0
457,0.0,340.0
458,69900.0,66350.0
459,5006700.0,6566100.0
460,3143500.0,1568330.0
461,702500.0,1737560.0
462,1068200.0,778180.0
463,2000.0,680.0
